Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KAZ,Kazakhstan,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,59,47
KEN,Kenya,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,98,109
KGZ,Kyrgyz Republic,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,44,70
KHM,Cambodia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,147,138
KIR,Kiribati,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,93,115
KNA,St. Kitts and Nevis,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,87,95
KOR,"Korea, Rep.",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,8
KSV,Kosovo,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,119,117
KWT,Kuwait,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,74,67
LAC,Latin America & Caribbean,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO,Lao PDR,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,171,165
LBN,Lebanon,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,113,104
LBR,Liberia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,155,151
LBY,Libya,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCA,St. Lucia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,53,52
LIC,Low income,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,Liechtenstein,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,Sri Lanka,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,89
LMC,Lower middle income,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMY,Low & middle income,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSO,Lesotho,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,138,143
LTU,Lithuania,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,27
LUX,Luxembourg,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,50
LVA,Latvia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,21
MAC,"Macao SAR, China",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAF,St. Martin (French part),IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
