Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
COL,Colombia,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75
COM,Comoros,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75
CPV,Cape Verde,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
CRI,Costa Rica,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
CUB,Cuba,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
CUW,Curacao,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,Cayman Islands,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CYP,Cyprus,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,Czech Republic,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
DEU,Germany,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25
DJI,Djibouti,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,Dominica,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,Dominican Republic,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DZA,Algeria,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
EAP,East Asia & Pacific,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECA,Europe & Central Asia,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,Ecuador,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75
EGY,"Egypt, Arab Rep.",EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU,Euro area,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,Eritrea,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,Spain,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EST,Estonia,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,Ethiopia,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,Finland,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
FJI,Fiji,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
FRA,France,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRO,Faeroe Islands,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
